Country,ISO,corruptionIndex,scoreEconomy,scorepress,environment,presscat,environmentCat
New Zealand,NZL,90,8.48,10.010000000000002,88.0,3,1
Denmark,DNK,90,7.77,8.889999999999997,89.21,3,1
Finland,FIN,89,7.75,8.59,90.68,3,1
Sweden,SWE,88,7.65,12.329999999999995,90.43,3,1
Switzerland,CHE,86,8.44,11.760000000000002,86.93,3,1
Norway,NOR,85,7.67,8.790000000000003,86.9,3,1
Singapore,SGP,84,8.81,52.96000000000001,87.04,1,1
Netherlands,NLD,83,7.74,8.760000000000002,82.03,3,1
Canada,CAN,82,7.94,15.260000000000002,85.06,3,1
Germany,DEU,81,7.69,14.799999999999994,84.26,3,1
Luxembourg,LUX,81,7.63,14.429999999999989,86.58,3,1
United Kingdom,GBR,81,8.05,21.7,87.38,3,1
Australia,AUS,79,7.99,17.84,87.22,3,1
Iceland,ISL,78,7.23,15.299999999999994,90.51,3,1
Belgium,BEL,77,7.44,14.179999999999989,80.15,3,1
Austria,AUT,75,7.66,13.179999999999989,86.64,3,1
Ireland,IRL,73,8.19,12.400000000000002,86.6,3,1
Japan,JPN,72,7.47,28.669999999999998,80.59,2,1
Uruguay,URY,71,7.16,15.879999999999992,73.98,3,1
Estonia,EST,70,7.95,14.309999999999999,88.59,3,1
France,FRA,69,7.33,23.829999999999995,88.2,3,1
Chile,CHL,66,7.77,19.23,77.67,3,1
Bhutan,BTN,65,7.11,30.73,64.99,2,0
Israel,ISR,64,7.49,32.58,78.14,2,1
Poland,POL,62,7.34,23.889999999999997,81.26,2,1
Portugal,PRT,62,7.53,17.269999999999992,88.63,3,1
Taiwan,TWN,61,7.7,24.37,74.88,2,1
Qatar,QAT,61,7.43,35.97,69.94,2,0
Slovenia,SVN,61,7.0,22.26,88.98,3,1
Botswana,BWA,60,7.37,22.909999999999993,70.72,3,1
Cape Verde,CPV,59,6.66,19.820000000000004,51.98,3,0
Lithuania,LTU,59,7.92,19.95,85.49,3,1
Costa Rica,CRI,58,7.52,11.09999999999999,80.03,3,1
Spain,ESP,58,7.51,19.919999999999998,88.91,3,1
Georgia,GEO,57,8.01,27.960000000000004,64.96,2,0
Latvia,LVA,57,7.75,17.379999999999992,85.71,3,1
Cyprus,CYP,55,7.79,18.26,80.24,3,1
Malta,MLT,55,7.7,23.84,88.48,2,1
Mauritius,MUS,54,8.04,27.689999999999994,70.85,2,1
Rwanda,RWA,54,7.57,54.61,50.34,1,0
Namibia,NAM,52,6.76,15.150000000000002,70.84,3,1
Malaysia,MYS,49,7.19,46.57000000000001,74.23,1,1
Croatia,HRV,49,7.02,27.909999999999993,86.98,2,1
Jordan,JOR,48,7.47,44.49000000000001,72.24,2,1
Hungary,HUN,48,7.3,28.169999999999998,84.6,2,1
Romania,ROU,48,7.72,24.290000000000003,83.24,2,1
Italy,ITA,47,7.3,28.930000000000003,84.48,2,1
Saudi Arabia,SAU,46,6.24,59.72,68.63,1,0
Suriname,SUR,45,6.67,16.7,68.58,3,0
